Progress,Duration (in seconds),Finished,S1_1,S1_gen_4,S1_gen_5,S1_gen_6,S1_gen_7,S1_gen_8,S1_A1_7,S1_A1_8,S1_A1_9,S1_A2_7,S1_A2_8,S1_A2_9,S1_A3_7,S1_A3_8,S1_A3_9,S1_A4_7,S1_A4_8,S1_A4_9,S1_A5_7,S1_A5_8,S1_A5_9,S2_1,S2_gen_4,S2_gen_5,S2_gen_6,S2_gen_7,S2_gen_8,S2_A1_7,S2_A1_8,S2_A1_9,S2_A2_7,S2_A2_8,S2_A2_9,S2_A3_7,S2_A3_8,S2_A3_9,S2_A4_7,S2_A4_8,S2_A4_9,S2_A5_7,S2_A5_8,S2_A5_9,S3_1,S3_gen_4,S3_gen_5,S3_gen_6,S3_gen_7,S3_gen_8,S3_A1_7,S3_A1_8,S3_A1_9,S3_A2_7,S3_A2_8,S3_A2_9,S3_A3_7,S3_A3_8,S3_A3_9,S3_A4_7,S3_A4_8,S3_A4_9,S3_A5_7,S3_A5_8,S3_A5_9,S4_1,S4_gen_4,S4_gen_5,S4_gen_6,S4_gen_7,S4_gen_8,S4_A1_7,S4_A1_8,S4_A1_9,S4_A2_7,S4_A2_8,S4_A2_9,S4_A3_7,S4_A3_8,S4_A3_9,S4_A4_7,S4_A4_8,S4_A4_9,S4_A5_7,S4_A5_8,S4_A5_9,S5_1,S5_gen_4,S5_gen_5,S5_gen_6,S5_gen_7,S5_gen_8,S5_A1_7,S5_A1_8,S5_A1_9,S5_A2_7,S5_A2_8,S5_A2_9,S5_A3_7,S5_A3_8,S5_A3_9,S5_A4_7,S5_A4_8,S5_A4_9,S5_A5_7,S5_A5_8,S5_A5_9,S6_1,S6_gen_4,S6_gen_5,S6_gen_6,S6_gen_7,S6_gen_8,S6_A1_7,S6_A1_8,S6_A1_9,S6_A2_7,S6_A2_8,S6_A2_9,S6_A3_7,S6_A3_8,S6_A3_9,S6_A4_7,S6_A4_8,S6_A4_9,S6_A5_7,S6_A5_8,S6_A5_9,S7_1,S7_gen_4,S7_gen_5,S7_gen_6,S7_gen_7,S7_gen_8,S7_A1_7,S7_A1_8,S7_A1_9,S7_A2_7,S7_A2_8,S7_A2_9,S7_A3_7,S7_A3_8,S7_A3_9,S7_A4_7,S7_A4_8,S7_A4_9,S7_A5_7,S7_A5_8,S7_A5_9,S8_1,S8_gen_4,S8_gen_5,S8_gen_6,S8_gen_7,S8_gen_8,S8_A1_7,S8_A1_8,S8_A1_9,S8_A2_7,S8_A2_8,S8_A2_9,S8_A3_7,S8_A3_8,S8_A3_9,S8_A4_7,S8_A4_8,S8_A4_9,S8_A5_7,S8_A5_8,S8_A5_9,S9_1,S9_gen_4,S9_gen_5,S9_gen_6,S9_gen_7,S9_gen_8,S9_A1_7,S9_A1_8,S9_A1_9,S9_A2_7,S9_A2_8,S9_A2_9,S9_A3_7,S9_A3_8,S9_A3_9,S9_A4_7,S9_A4_8,S9_A4_9,S9_A5_7,S9_A5_8,S9_A5_9,S10_1,S10_gen_4,S10_gen_5,S10_gen_6,S10_gen_7,S10_gen_8,S10_A1_7,S10_A1_8,S10_A1_9,S10_A2_7,S10_A2_8,S10_A2_9,S10_A3_7,S10_A3_8,S10_A3_9,S10_A4_7,S10_A4_8,S10_A4_9,S10_A5_7,S10_A5_8,S10_A5_9,S11_1,S11_gen_4,S11_gen_5,S11_gen_6,S11_gen_7,S11_gen_8,S11_A1_7,S11_A1_8,S11_A1_9,S11_A2_7,S11_A2_8,S11_A2_9,S11_A3_7,S11_A3_8,S11_A3_9,S11_A4_7,S11_A4_8,S11_A4_9,S11_A5_7,S11_A5_8,S11_A5_9,S12_1,S12_gen_4,S12_gen_5,S12_gen_6,S12_gen_7,S12_gen_8,S12_A1_7,S12_A1_8,S12_A1_9,S12_A2_7,S12_A2_8,S12_A2_9,S12_A3_7,S12_A3_8,S12_A3_9,S12_A4_7,S12_A4_8,S12_A4_9,S12_A5_7,S12_A5_8,S12_A5_9,S13_1,S13_gen_4,S13_gen_5,S13_gen_6,S13_gen_7,S13_gen_8,S13_A1_7,S13_A1_8,S13_A1_9,S13_A2_7,S13_A2_8,S13_A2_9,S13_A3_7,S13_A3_8,S13_A3_9,S13_A4_7,S13_A4_8,S13_A4_9,S13_A5_7,S13_A5_8,S13_A5_9,S14_1,S14_gen_4,S14_gen_5,S14_gen_6,S14_gen_7,S14_gen_8,S14_A1_7,S14_A1_8,S14_A1_9,S14_A2_7,S14_A2_8,S14_A2_9,S14_A3_7,S14_A3_8,S14_A3_9,S14_A4_7,S14_A4_8,S14_A4_9,S14_A5_7,S14_A5_8,S14_A5_9,S15_1,S15_gen_4,S15_gen_5,S15_gen_6,S15_gen_7,S15_gen_8,S15_A1_7,S15_A1_8,S15_A1_9,S15_A2_7,S15_A2_8,S15_A2_9,S15_A3_7,S15_A3_8,S15_A3_9,S15_A4_7,S15_A4_8,S15_A4_9,S15_A5_7,S15_A5_8,S15_A5_9,S16_1,S16_gen_4,S16_gen_5,S16_gen_6,S16_gen_7,S16_gen_8,S16_A1_7,S16_A1_8,S16_A1_9,S16_A2_7,S16_A2_8,S16_A2_9,S16_A3_7,S16_A3_8,S16_A3_9,S16_A4_7,S16_A4_8,S16_A4_9,S16_A5_7,S16_A5_8,S16_A5_9,S17_1,S17_gen_4,S17_gen_5,S17_gen_6,S17_gen_7,S17_gen_8,S17_A1_7,S17_A1_8,S17_A1_9,S17_A2_7,S17_A2_8,S17_A2_9,S17_A3_7,S17_A3_8,S17_A3_9,S17_A4_7,S17_A4_8,S17_A4_9,S17_A5_7,S17_A5_8,S17_A5_9,S18_1,S18_gen_4,S18_gen_5,S18_gen_6,S18_gen_7,S18_gen_8,S18_A1_7,S18_A1_8,S18_A1_9,S18_A2_7,S18_A2_8,S18_A2_9,S18_A3_7,S18_A3_8,S18_A3_9,S18_A4_7,S18_A4_8,S18_A4_9,S18_A5_7,S18_A5_8,S18_A5_9,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,1268,TRUE,95,dip into retirement,take out a loan,dip into savings,call a charity,ask relatives,100,100,100,91,100,100,100,100,100,91,100,75,100,100,100,,,,,,,,,,,,,,,,,,,,,,0,tell the manager he's short that amount,ask the manager to make it up some other way,grin and bear it,say he's sorry,warn the other employees,100,100,100,97,100,100,100,100,100,100,100,100,95,100,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,keep driving,watch the person drive and make sure they're okay,pull up next to them,get closer to them and try to wake them up,drive around them,98,3,93,99,100,65,37,98,22,95,99,7,99,8,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,tell them he's a chef and where he was going,tell them he's a chef,go through and see what happens,show them the knife before checkpoint,tell them he has a knife,99,100,100,100,100,100,95,100,91,96,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,go look for hel[,get a big rock and break the rock his arm is stuck in,move the rock possibly that his arm is stuck in,cut off his arm,break his arm to loosen it out of the crevice,95,100,100,99,100,100,100,100,100,71,100,91,96,100,96,,,,,,,,,,,,,,,,,,,,,,100,ask for help from one of the other competitors,administer first aid,call an ambulance,fix the sled,see if he's bleeding,98,100,100,100,100,100,91,100,100,37,100,62,95,100,100,,47,Male,White / Caucasian,,Some College,Rung 1 (Bottom Rung),start a fundraiser,,stage a robbery,,,,,,pull over and call 911,,,hide the knife in someone else's bag,,,,get her arm stuck in solidarity,,call for help
100,1218,TRUE,,,,,,,,,,,,,,,,,,,,,,89,call a friend,call an uber ,hitchhike,walk,callAAA,100,100,100,95,100,100,10,88,6,5,100,1,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,sneak him in,buy another ticket,use a scalper,go out to dinner,listen to concert outside the venue,91,32,40,82,100,69,72,70,84,49,100,58,60,100,49,39,ask the family if he's theirss,confront the guy,do nothing,alert the lifeguard,leave,79,100,72,59,82,58,83,12,100,35,99,48,33,1,65,20,call the police,get off at a rest stop,try to pass the guy,slow way down,turn around,82,99,91,80,100,69,43,55,31,71,99,76,10,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,ration the food,let it run out,findo ut if other ships are in the area that could help,call the coast guard,send out sos,81,94,93,19,1,1,82,100,72,93,100,91,99,100,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,call for help,render aid,look for help,notify race organizers,call 911,100,100,100,74,100,93,91,100,84,69,100,91,79,100,87,,60,Male,White / Caucasian,,Doctoral Degree (PhD),Rung 7,,call a taxi,,,,,pretend they are conjoined twins,keep an eye on him,take a detour at the next exit,,,,,,request supplies to be airdropped,,,finish the race
100,1213,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Darya could try to buy a ticket from someone.,Darya could give up her ticket. ,Darya could suggest that they both go back and get his ticket. ,"Darya could suggest the he go back to get his ticket,  ",Darya could go into the concert and leave her friend to figure out what to do.  ,62,78,61,19,57,13,50,88,41,79,19,32,30,13,19,,,,,,,,,,,,,,,,,,,,,,93,Eamon could have ignored the driver and done nothing.,Eamon could have stopped and called 911.,Eamon could have used his car to try to stop this person.  ,"Eamon could have somehow tried to get the driver’s attention by using flashing lights, horn, etc.  ",Eamon could have pulled off the road completely and let someone else deal with it.  ,35,25,54,81,100,69,8,9,10,43,46,44,48,30,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Throw disobedient passengers off the boat.,Come up with a plan to ration food.,Fish for food.,Keep all of the food for himself.,Continue as normal.,41,11,9,80,100,100,68,88,86,11,9,8,51,23,41,86,Ration out the water giving each of the a few drops at a time.,Go for help.,Continue trying to call 911.,Give the water to Todd.  ,Drink the water herself.  ,69,69,73,69,69,77,100,100,100,89,100,79,20,8,22,90,Jeff could leave for his court appointment.  ,Jeff could stay and be late to court.,Jeff could skip his court appointment.,Jeff could let someone else know the situation and leave.  ,Jeff could continue trying to call his boss.  ,34,22,34,48,59,51,11,8,14,59,50,56,100,100,100,87,Keep going in the race.,Yell for help.,Stop and help the person herself.,Find a race volunteer or official to help.  ,Ignore the person.  ,4,5,7,100,96,100,82,90,89,58,70,75,2,5,4,,55,Female,White / Caucasian,,Master's Degree (MS),Rung 6,,,,,,,try to buy a ticket off another person,,pull over and call 911,,,,,,throw disobedient passengers off the boat,give Todd her water,call his lawyer,call for help
100,1043,TRUE,100,Tried to find a non profit to help,Raise the money by working extra,Go fund me account,Seek another Dr advice,Seek alternative medicine,72,100,69,83,100,100,41,100,73,36,100,47,42,100,48,,,,,,,,,,,,,,,,,,,,,,0,Tell the boss what happened,Pay the amount out of his own pocket,Do nothing,Recount the money,Question the other workers,86,100,85,64,99,67,81,100,86,100,100,86,89,100,89,82,went back to work to get her phone,done nothing,used the phone at another business,drove to tell her friend,not forgot her phone,46,100,85,75,27,14,80,100,88,17,100,29,13,100,26,,,,,,,,,,,,,,,,,,,,,,0,Make a plan to survive,look for fire wood,look for water,make shelter,talk to everyone about what skills they have,83,100,75,96,100,89,91,100,84,82,99,75,62,100,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Try and pass the car when safe,Back off a safe distance,call the police,pull over and wait for the car to get farther down the road,do nothing,95,100,100,90,100,100,66,100,100,52,100,57,30,72,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,asked for help from the other racers,do nothing,call for help,go for help,just pass by ,94,100,94,12,0,7,100,100,100,82,100,90,15,0,0,,46,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 5,search for the medication on the black market,,sell one of his kidneys,borrow someone's phone,,boost morale with a three-legged race,,,honk an angry message in Morse code,,,,,,,,,carry her competitor on her sled
100,824,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,ask him about it,ask others about him,tell him to stop,call the police,yell at him,48,100,100,38,100,100,10,59,74,0,20,11,10,26,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,confess,call the taxi company,ask forgiveness,use another woman's ring for the ceremony,see if the taxi is nearby,100,100,100,70,100,100,100,100,100,51,100,100,41,100,100,100,move him in with someone else,put out ad to take him,ask for hospice,ask relative for help,ask church for help,3,17,28,4,1,1,32,100,100,100,100,100,15,100,66,0,ration the food,offer to sick,divide evenly,offer first come,give to elderly,51,100,100,27,100,100,80,100,100,30,18,45,35,100,88,0,pray,keep working at it,yell for help,go a short distance to find water,ask if she can leave to find help,80,100,100,40,100,100,100,100,100,29,100,100,50,100,100,,,,,,,,,,,,,,,,,,,,,,50,help revive,call for help,pray,send up signal,leave for help,72,100,100,100,100,100,53,100,100,15,100,100,100,100,100,,47,Male,White / Caucasian,,Some College,Rung 5,,,,,,,,keep an eye on him,,,,,run away,check in on his father daily,sell all the food to the highest bidder,yell at Todd for getting stuck,,leave her dogs with him
100,1352,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Tell the others he is lost,Ask the others for help,Say nothing,Wait for a rescue crew,Look for food,74,100,100,74,100,100,15,1,1,8,6,1,83,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Say no,Give her a ride,Ask for gas money,Call an uber,Ignore her,50,80,72,50,91,67,50,80,76,70,90,89,20,20,10,0,Look around for the owner,Call 911,Break a window,Ask someone else for help,Ignore it,84,100,100,60,100,83,30,67,68,81,100,100,30,30,30,100,Leave the knife with airport security,Throw the knife away,Try to sneak it through security,Go back to check in and check it,Ask for advice,50,100,88,10,100,10,73,81,81,50,100,100,66,100,100,0,Tell the bride and groom the truth,Try to locate the taxi,Borrow a ring,Buy a new ring,Ask someone else for help,50,100,65,71,100,86,50,79,63,50,100,82,82,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Leave the store,Call his manager,Call another employee,Close the store,Stay at the store and miss his appointment,88,90,100,90,100,100,79,84,90,65,100,100,15,100,100,,,,,,,,,,,,,,,,,,,,,,,39,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,,,,,collect wood to start a fire,,,,call her a cab,light a fire under the car,ask to check the knife,steal someone else’s ring,,,,stage a break-in at the store,
100,864,TRUE,85,Apply for public aid,Ask pharmacy about special programs ,Check with the maker of the meds for specials,Talk to doctor,Ask friends ,82,95,94,93,92,91,88,89,91,86,89,92,35,39,34,,,,,,,,,,,,,,,,,,,,,,0,Call the manager to explain,Try to figure out where the money went,Ask his coworkers,Put the money in himself ,Keep calculating until the drawer balances,90,90,90,100,100,100,100,100,100,30,50,20,100,100,100,100,Meet her friend to explain ,Explain her situation to the gym,See if there are new promotions at the gym,Go home,Renew her membership ,29,89,70,50,90,75,30,91,58,10,10,50,70,91,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Called a taxi for her,Said he couldn’t give her a ride,Give her the ride,Give her a ride halfway,Talk to her rudely ,91,98,55,91,72,90,40,95,20,51,90,33,10,5,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Ration food,Ask crew for suggestions ,Ask passengers for suggestions,Give more to people at risk,Try to skip meals,90,90,90,50,90,71,30,90,53,41,90,57,90,91,90,30,Have Eva get help,Have Eva rest and try again,Keep trying to get the arm out of the crevice,Try to use saliva to slip arm out of crevice,Try other methods to dislodge the arm,90,71,70,100,100,100,100,100,100,80,90,61,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Female,White / Caucasian,,College Graduate (4 year),Rung 6,search for the medication on the black market,,stage a robbery,pay for a day-pass to the gym,,,,,,steal whatever she has on her,,,,,sell all the food to the highest bidder,saw Todd’s arm off,,
100,1283,TRUE,100,He could work a part time job to afford the medicine ,He could look for another doctor to prescribe a medicine that is covered,He could look into herbal remedies,He could just not get her the medicine ,He could look for rx plans online,83,82,84,86,84,84,58,56,55,0,0,0,69,100,100,0,He could have called for help ,He could have called a cab ,He could have called a friend,He could have called a tow truck ,He could have pushed his flight back ,23,100,100,39,100,100,32,100,100,13,100,100,10,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,He could have saved the food,Rationed the food between the two of them ,Given the food to his friend ,Eaten some of the food ,Saved the food for later ,55,100,100,44,100,100,46,100,100,66,78,87,44,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,He could have helped her get a cab ,He could have given her money for a bus ,He could have ignored her completely ,He could have driven her closer to her stop without going past his ,He could have driven her to the city ,28,88,90,26,100,100,16,49,68,40,83,100,27,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,She could have stayed with him ,She could have tried to free him ,She could have tried to start a fire as a signal ,She could have left there and went to look for help ,She could have abandoned him completely ,12,86,93,72,100,100,31,100,100,72,100,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,96,She could call the police as she is running ,She could stop to check on him ,She find someone else to check on him ,She could administer first aid ,She could just run and do nothing ,100,100,100,81,96,97,81,100,95,100,100,100,50,20,31,,27,Male,Black / African American,,Vocational/Technical School (2 year),Rung 3,switch insurance plans,steal a passing driver's car,,,,throw away all of the food,,,,refuse to drive her,,,,,,hike until she finds cell service,,leave her dogs with him
100,1035,TRUE,,,,,,,,,,,,,,,,,,,,,,52,cancel the flight,ask his family member or friend to come and take care of his car,leave his car and take a uber,do nothing and hope that hell be able to make it to the flight,be late ,8,84,14,88,62,41,69,6,8,5,64,9,3,71,74,,,,,,,,,,,,,,,,,,,,,,6,askk to borrow someone else's phone,get her phone from the office,explain to her friend later why she didnt come,renew her membership,explain the situation to an employee and ask for help,31,81,81,6,91,91,5,92,79,5,70,80,4,85,85,39,tell her teacher the situation and ask for an extension,ask her mom to drop off her assigment,not turn in anything,copy off of a friend,not go to class,87,94,92,92,85,89,14,44,56,30,2,1,3,2,2,76,ask his friens if they have a blanket,not huddle together and risk dying of the cold,keep moving to generate heat,start a fire,try to find a way back home,47,90,92,53,72,89,68,87,77,75,86,76,28,83,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,throw out his knife,not go to the event,go back to his home and leave the knife there,go through airport security anyways,ask a family member or friend to hold on to the knife,3,91,83,5,36,16,63,97,98,1,1,1,72,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,not go to the court appointment,call another coworker and ask them to take his shift,keep calling the boss until he answers,call the boss's family member or friend and hope they answer,just quit his job,15,5,3,41,85,94,58,85,88,59,78,80,5,8,3,,,,,,,,,,,,,,,,,,,,,,,21,Female,Asian / Pacific Islander,,Some College,Rung 2,,reschedule for a later flight,,pull the fire alarm,quickly try to redo the assignment,huddle to conserve energy,,,,,,take a train instead,,,,,lock up the store,
100,2446,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,do not play,write to your friend,talk to the manager,back to the office,disguise,46,46,55,49,59,83,44,66,67,63,63,62,58,46,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,shout,ask the teenager,make him see that he called the police,hit him,protecting things,56,64,52,67,74,77,68,72,79,70,74,75,74,67,42,,,,,,,,,,,,,,,,,,,,,,21,refuse,tell him that I was going to another address,feign dementia,speed up,say that it had no fuel,44,45,44,41,31,56,21,15,18,24,23,37,29,27,33,68,call the owner,break the windshield,call animal protection,ask for help,call 911,35,78,22,92,87,55,99,98,98,96,88,87,100,100,100,28,leave him until he returns,talk to the guard to find out what your options are,send it by parcel,throw it away,replace,83,80,78,39,80,77,67,80,88,11,38,33,16,23,84,12,search for the driver,call the cab line and ask,ask for reward,buy an identical one,hablar con un amigo para que lo ayude,79,47,30,69,75,74,64,37,79,39,25,30,77,63,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Male,Hispanic / Latino,,College Graduate (4 year),Rung 6,,,,lie that she left her card inside,,,,wave to the parents,,take her to his house but no further,check that the doors are locked,pretend the knife is part of a hip replacement,run away,,,,,
100,2158,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Build a fire wait for the rescure crew.,"Erect tents, bundle in sleeping bags for heat await rescue crew.","Get Compass, maps, refocus on finding location and directions out.","Discuss with others situation, ration food and water and continue current path.","Get Cellphone, radio what ever device and transmit SOS.",76,100,98,50,99,91,24,99,45,91,90,91,20,100,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Call the police and report the driver.,Pull over or take a different route to get away from the path of the driver.,"Stay behind the driver, but follow him or her home to make sure they made it safely.",Flag the driver down and offer to drive them home safely.,"Pass the driver and then slow down till they are forced to pull over, take them to a diner for coffee.",96,97,97,76,98,98,13,41,14,59,97,35,6,20,6,71,Give the woman a ride.,Ignore her and let her fend for herself.,Offer to call the woman's husband or friends to come and get her.,"Driver her to Cameron's house, call a cab from there.","Talk to the women, find out where her car is and take her to the garage or parking lot where her car is or if broken down call her a tow truck.",72,100,100,11,5,31,95,98,98,61,100,84,19,97,30,0,"She could at worst, break a window to get air to the dog.",She could wait till the owner returns and talk to them about cruelty to animals.,Call the mall manager to get someone to help.,Call a garage to pick the lock on the door and get the dog some air.,Call the police to have them take over the situation and get the dog some relief.,9,9,9,77,91,91,39,90,38,13,92,14,30,97,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Cut Todd's arm off and tourniquet it and continue traveling for help.,"Continue trying 911, walk around trying to find a hot spot.",Leave Todd and walk on to get help and bring them back to Todd.,Use sticks or branches and try to unjamb the rocks and free Todd's arm.,Build a shield to shelter Todd from sun and let him have water and try to work himself out.,3,3,6,95,91,97,80,96,90,14,20,37,6,19,10,50,Call the manager on his cell and discuss what to do.,"Call the court and describe the situation, change court date/time.",Call a fellow employee to fill in the shift till the manager returns.,Call significant other to come in and take over his shift so he can leave.,"Ask the next regular customer to wait in store and explain situation, not locked up but not able to sell anything till Manager comes in.",81,100,100,19,100,29,92,100,93,5,19,10,3,30,20,,,,,,,,,,,,,,,,,,,,,,,59,Male,White / Caucasian,,Master's Degree (MS),Rung 6,,,,,,steal all of the food and water,,,honk at the driver until they pull over,call her a cab,slash the tires,,,,,give Todd her water,lock up the store,
100,1287,TRUE,,,,,,,,,,,,,,,,,,,,,,78,Wait for AAA or another service to help with his car,Skip the safari and wait in his car and do nothing,Call a friend to help with the car and then take another car service to the airport,Call a friend to take him to the airport and let AAA know he needs the car towed,Just walk home and ignore the whole situation,42,83,84,19,57,9,32,78,73,24,80,77,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,Get the rescue crew ASAP and just wait in that spot,Don't look for a water source,Seperate the friends into pairs to seek water,Isn't there snow? Eat the snow for water,Take a nap while waiting for help,71,73,73,21,35,35,40,56,58,51,80,82,20,26,27,,,,,,,,,,,,,,,,,,,,,,62,Ask the teen if he's part of the family,"See what he's taking. If it's just sunblock, then just ignore it","If he's taking expensive items, like money or a camera, contact the lifeguard or the family",Ignore it and pretending she's asleep,Just start a casual converstation with him to see how he reacts,52,57,55,63,65,67,52,72,71,74,66,62,53,61,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Break the window and take the dog into the mall/air conditioning,Call the police,Ask people around her for help and to confirm that breaking the window is the right thing to do for backup witnesses,Look for the owner,Ignore the situation and walk away,61,71,71,51,81,82,61,73,74,30,83,78,52,9,12,63,Explain that he has the knife for work and let security decide how to deal with it,Request that the knife be put on the plane in the regular non-carry on luggage,See if he can ship it somehow to his destination.,Get rid of the knife and get on the flight,Just go home and forget the trip,22,87,85,25,80,79,22,78,78,13,52,54,1,22,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,She could have stopped to check on the unconscious person,She could've yelled out to someone for help ,She could tell someone at the end of the race that there is someone who needs help,She could just ignore the situation and win the race and get the money,She could refuse the money/win based on the fact that someone was down,41,72,68,62,70,71,82,90,97,82,54,52,32,71,67,,48,Female,White / Caucasian,,College Graduate (4 year),Rung 7,,call a taxi,,,,search for a water source,,wave to the parents,,,ask to use the mall's loudspeaker,take a train instead,,,,,,finish the race
