Progress,Duration (in seconds),Finished,ResponseId,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,327,TRUE,R_1f96GXaBNq8xmJu,80,,0,0,0,0,0,,0,0,,,,80,,0,0,0,,50,Female,White / Caucasian,,College Graduate (4 year),Rung 7,switch insurance plans,,pay the money from his own wallet,renew her membership,copy a friend's assignment,boost morale with a three-legged race,go without Ted,,pull over and call 911,call her a cab,,,,check in on his father daily,,yell at Todd for getting stuck,ask a friend to take over,steal his dogs for extra speed
100,364,TRUE,R_3s7D1Qe8oWC7aWE,0,0,0,,,0,0,,,0,0,0,0,,0,0,0,,,46,Male,White / Caucasian,,Master's Degree (MS),Rung 3,commit credit card fraud,try to convince a passing driver to trade cars,explain the situation to his boss,,,huddle to conserve energy,try to buy a ticket off another person,,,refuse to drive her,pour water on the car to cool it,ask to check the knife,steal someone else’s ring,,ration their food,saw Todd’s arm off,lock up the store,
100,377,TRUE,R_6tnBT5KOKyFoSn7,8,11,0,9,0,0,0,,,,0,,92,,0,0,0,,,70,Female,White / Caucasian,,College Graduate (4 year),Rung 7,go on strike for better wages,call a taxi,stage a robbery,pull the fire alarm,lie that her house burnt down,throw away all of the food,teleport into the concert,,,,light a fire under the car,,borrow their mom’s wedding ring,,sell all the food to the highest bidder,get her arm stuck in solidarity,lock up the store,
100,270,TRUE,R_yVASvM9rBXiymIh,100,10,40,60,,40,,24,,,,51,,100,90,61,30,0,,31,Male,White / Caucasian,,College Graduate (4 year),Rung 5,take out a loan,demand that the airline delays the flight,get an advance payday loan,renew her membership,,steal all of the food and water,,tackle him and hold him down,,,,pretend the knife is part of a hip replacement,,check in on his father daily,ration their food,give Todd her water,lock up the store,leave her dogs with him
100,178,TRUE,R_8fdvOv8Bsbxigvv,,70,0,0,31,,,69,32,72,,,,33,55,84,10,72,,37,Male,White / Caucasian,,High School or equivalent,Rung 5,,steal a passing driver's car,overcharge the next customers,pull the fire alarm,quickly try to redo the assignment,,,keep an eye on him,honk an angry message in Morse code,turn invisible,,,,move into his father’s apartment,organize a fishing crew,yell at Todd for getting stuck,leave the store unattended,leave her dogs with him
100,344,TRUE,R_272Ik0jbYlfgP5r,,,0,0,0,,0,,,0,0,100,0,0,0,,0,0,,32,Male,Black / African American,,Some College,Rung 5,,,stage a robbery,lie that she left her card inside,bring in the assignment the next day,,steal someone else's ticket,,,take her to his house but no further,pour water on the car to cool it,store the knife in an airport locker,blame it on the maid of honor,abandon his father,sell all the food to the highest bidder,,stage a break-in at the store,hide him in the snow
100,514,TRUE,R_3HFWlrmXukzMTa9,90,0,50,10,100,,,80,,20,0,,0,,0,0,0,,,39,Female,White / Caucasian,,College Graduate (4 year),Rung 3,start a fundraiser,steal a passing driver's car,get an advance payday loan,crawl past the front desk,bring in the assignment the next day,,,ask the parents if they know him,,call her a cab,light a fire under the car,,steal someone else’s ring,,sell all the food to the highest bidder,yell at Todd for getting stuck,tell his lawyer that he’s sick,
100,472,TRUE,R_1jy7tvOkVpetQLr,55,10,1,1,,90,,,100,1,,1,51,1,,,23,1,,58,Male,Black / African American,,Some College,Rung 4,search for the medication on the black market,demand that the airline delays the flight,stage a robbery,pull the fire alarm,,huddle to conserve energy,,,pull over and call 911,yell in gibberish until she leaves,,pretend the knife is part of a hip replacement,borrow their mom’s wedding ring,pitch his situation to a reality TV network,,,call his lawyer,call for help
100,529,TRUE,R_1GP6BSq2WqN4Ybe,0,90,,,100,,0,90,0,0,,20,,,0,0,0,0,,51,Female,White / Caucasian,,College Graduate (4 year),Rung 4,commit credit card fraud,call a taxi,,,quickly try to redo the assignment,,teleport into the concert,ask the parents if they know him,ram into the car,call her a cab,,take a train instead,,,throw disobedient passengers off the boat,saw Todd’s arm off,ask a friend to take over,leave her dogs with him
100,561,TRUE,R_3kOpaCKuxS1trFg,17,55,34,,23,16,,,43,,11,15,,14,57,10,5,,,37,Male,White / Caucasian,,Some College,Rung 5,switch insurance plans,call a taxi,get an advance payday loan,,copy a friend's assignment,steal all of the food and water,,,take a detour at the next exit,,ask to use the mall's loudspeaker,pretend the knife is part of a hip replacement,,pitch his situation to a reality TV network,ration their food,get her arm stuck in solidarity,ask a friend to take over,
100,351,TRUE,R_1JVhRTT8d2PMINT,100,100,0,,0,,0,,0,0,0,0,100,,0,,0,,,33,Male,White / Caucasian,,High School or equivalent,Rung 5,switch insurance plans,take a public bus,pay the money from his own wallet,,lie that her house burnt down,,steal someone else's ticket,,ram into the car,steal whatever she has on her,light a fire under the car,threaten security with the knife,call the taxi company,,throw disobedient passengers off the boat,,ask a friend to take over,
100,364,TRUE,R_3nIclIjA9LY8HKw,2,0,,0,0,0,15,0,30,,,,,,0,85,0,0,,50,Female,White / Caucasian,,College Graduate (4 year),Rung 5,commit credit card fraud,demand that the airline delays the flight,,lie that she left her card inside,hypnotize the teacher,throw away all of the food,give her ticket to Ted,read his mind,pull over and call 911,,,,,,throw disobedient passengers off the boat,hike until she finds cell service,leave the store unattended,hide him in the snow
100,360,TRUE,R_2wdhUGJSMkMcD2c,,,100,,,80,0,0,40,0,0,60,0,0,0,,0,,,35,Female,White / Caucasian,,High School or equivalent,Rung 2,,,explain the situation to his boss,,,huddle to conserve energy,steal someone else's ticket,make cat noises at him until he leaves,pull over and call 911,yell in gibberish until she leaves,light a fire under the car,store the knife in an airport locker,steal someone else’s ring,pitch his situation to a reality TV network,throw disobedient passengers off the boat,,lock up the store,
100,429,TRUE,R_3MfekiyLciYGWkK,,,0,100,0,,10,,100,0,0,0,100,0,,100,,100,,62,Male,White / Caucasian,,Some College,Rung 6,,,sell one of his kidneys,pay for a day-pass to the gym,call her mom,,try to buy a ticket off another person,,honk at the driver until they pull over,call her a cab,check that the doors are locked,take a train instead,borrow their mom’s wedding ring,buy his father a tent,,leave Todd to save herself,,finish the race
100,234,TRUE,R_3Op2dTJiMAgFEEL,60,,100,90,10,100,,,1,1,10,,100,,100,,1,100,,48,Female,White / Caucasian,,High School or equivalent,Rung 6,start a fundraiser,,explain the situation to his boss,renew her membership,call her mom,collect wood to start a fire,,,tailgate the car,steal whatever she has on her,ask to use the mall's loudspeaker,,call the taxi company,,organize a fishing crew,,stage a break-in at the store,finish the race
100,277,TRUE,R_3EM69a2diHTt8vU,,70,0,75,20,,50,,,0,20,0,,0,,5,60,0,,45,Female,White / Caucasian,,Some College,Rung 4,,reschedule for a later flight,overcharge the next customers,renew her membership,copy a friend's assignment,,give her ticket to Ted,,,yell in gibberish until she leaves,call emergency services,hide the knife in someone else's bag,,pitch his situation to a reality TV network,,saw Todd’s arm off,call his lawyer,leave her dogs with him
100,434,TRUE,R_cTtH82flt5fHjuV,66,2,0,47,36,25,,,51,91,0,91,,91,,,99,,,40,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 7,search for the medication on the black market,demand that the airline delays the flight,overcharge the next customers,pay for a day-pass to the gym,bring in the assignment the next day,boost morale with a three-legged race,,,honk an angry message in Morse code,refuse to drive her,pour water on the car to cool it,ask to check the knife,,buy his father a tent,,,leave the store unattended,
100,277,TRUE,R_7UnU1HkaZkNffVv,80,85,,0,,0,0,1,55,25,,1,,7,95,1,,,,69,Female,White / Caucasian,,Master's Degree (MS),Rung 4,search for the medication on the black market,reschedule for a later flight,,pull the fire alarm,,throw away all of the food,pretend they are conjoined twins,read his mind,honk at the driver until they pull over,take her to his house but no further,,threaten security with the knife,,get another job,ration their food,saw Todd’s arm off,,
100,675,TRUE,R_3L55bPYto7O0qDC,70,,0,,,,60,0,0,0,5,0,80,,0,0,0,,,42,Male,White / Caucasian,,College Graduate (4 year),Rung 6,start a fundraiser,,overcharge the next customers,,,,teleport into the concert,make cat noises at him until he leaves,ram into the car,refuse to drive her,call emergency services,pretend the knife is part of a hip replacement,tell his sister as soon as possible,,serve engine fuel to the passengers,get her arm stuck in solidarity,call his lawyer,
100,506,TRUE,R_1QltLuhk36UkG6T,19,81,7,,,30,60,78,9,,19,50,83,,,79,24,,,58,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 3,start a fundraiser,take a public bus,sell one of his kidneys,,,search for a water source,go without Ted,wave to the parents,pull over and call 911,,check that the doors are locked,hide the knife in someone else's bag,call the taxi company,,,yell at Todd for getting stuck,call his lawyer,
100,378,TRUE,R_ZFasFzQU61aU0WR,25,0,,70,,0,,100,,30,0,60,0,,100,100,,0,,39,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 4,switch insurance plans,steal a passing driver's car,,borrow someone's phone,,steal all of the food and water,,ask the parents if they know him,,refuse to drive her,pour water on the car to cool it,ask to check the knife,run away,,ration their food,hike until she finds cell service,,call for help
100,375,TRUE,R_1cYDuT2T1QwVQe3,,0,9,,0,5,,0,,,0,,0,70,0,5,50,0,,54,Female,White / Caucasian,,College Graduate (4 year),Rung 4,,steal a passing driver's car,stage a robbery,,hypnotize the teacher,search for a water source,,wave to the parents,,,call emergency services,,blame it on the maid of honor,move into his father’s apartment,serve engine fuel to the passengers,leave Todd to save herself,lock up the store,carry her competitor on her sled
100,361,TRUE,R_7QCpttqJr32TLep,100,1,,,,60,100,50,10,50,,90,0,90,1,0,,,,47,Male,White / Caucasian,,Doctoral Degree (PhD),Rung 7,take out a loan,try to convince a passing driver to trade cars,,,,search for a water source,try to buy a ticket off another person,tackle him and hold him down,pull over and call 911,refuse to drive her,,take a train instead,steal someone else’s ring,move into his father’s apartment,sell all the food to the highest bidder,get her arm stuck in solidarity,,
100,436,TRUE,R_1lzeKc19ZkFbUec,90,,,40,0,0,0,,0,,5,80,100,0,,,0,0,,71,Male,White / Caucasian,,College Graduate (4 year),Rung 5,search for the medication on the black market,,,crawl past the front desk,lie that her house burnt down,steal all of the food and water,steal someone else's ticket,,tailgate the car,,call emergency services,take a train instead,tell his sister as soon as possible,buy his father a tent,,,tell his lawyer that he’s sick,leave her dogs with him
100,634,TRUE,R_2S7GZfsXe3P5vLg,96,91,,100,15,50,,5,0,0,,,,1,0,92,,0,,51,Male,White / Caucasian,,Master's Degree (MS),Rung 3,take out a loan,take a public bus,,borrow someone's phone,call her mom,collect wood to start a fire,,tackle him and hold him down,tailgate the car,turn invisible,,,,get another job,sell all the food to the highest bidder,hike until she finds cell service,,hide him in the snow
100,336,TRUE,R_Rt3LbPWLStmtFct,60,,65,90,95,5,,,10,,0,,0,5,0,15,,0,,42,Male,White / Caucasian,,College Graduate (4 year),Rung 3,go on strike for better wages,,get an advance payday loan,lie that she left her card inside,bring in the assignment the next day,throw away all of the food,,,take a detour at the next exit,,check that the doors are locked,,run away,buy his father a tent,serve engine fuel to the passengers,leave Todd to save herself,,steal his dogs for extra speed
100,232,TRUE,R_1FrZ2lzWzQJWGLP,75,88,14,65,,,,85,30,,68,,86,0,88,8,,97,,41,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 4,go on strike for better wages,reschedule for a later flight,sell one of his kidneys,borrow someone's phone,,,,keep an eye on him,take a detour at the next exit,,check that the doors are locked,,borrow their mom’s wedding ring,abandon his father,organize a fishing crew,yell at Todd for getting stuck,,finish the race
100,354,TRUE,R_2PzgZ2VqJ18Vcjd,,50,0,,,0,70,40,,0,0,100,,0,100,60,90,,,35,Male,White / Caucasian,,High School or equivalent,Rung 1 (Bottom Rung),,demand that the airline delays the flight,stage a robbery,,,throw away all of the food,try to buy a ticket off another person,wave to the parents,,steal whatever she has on her,slash the tires,store the knife in an airport locker,,pitch his situation to a reality TV network,ration their food,leave Todd to save herself,leave the store unattended,
100,754,TRUE,R_3e3uAdlElNbsau0,50,50,0,49,0,,0,9,0,0,0,,50,90,,,,,,51,Male,White / Caucasian,,Master's Degree (MS),Rung 8,take out a loan,call a taxi,sell one of his kidneys,borrow someone's phone,copy a friend's assignment,,give her ticket to Ted,read his mind,ram into the car,yell in gibberish until she leaves,slash the tires,,run away,check in on his father daily,,,,
100,534,TRUE,R_27BGHplXIiWM1En,38,0,2,,96,68,5,78,,51,60,,97,28,,100,,,,32,Male,Hispanic / Latino,,College Graduate (4 year),Rung 7,take out a loan,steal a passing driver's car,sell one of his kidneys,,call her mom,huddle to conserve energy,teleport into the concert,read his mind,,take her to his house but no further,pour water on the car to cool it,,tell his sister as soon as possible,check in on his father daily,,give Todd her water,,
100,258,TRUE,R_1gkieasqCbTFrhv,18,71,0,,99,100,51,,1,50,,100,0,1,1,,,,,39,Female,White / Caucasian,,Some College,Rung 7,search for the medication on the black market,try to convince a passing driver to trade cars,stage a robbery,,quickly try to redo the assignment,collect wood to start a fire,try to buy a ticket off another person,,ram into the car,take her to his house but no further,,store the knife in an airport locker,steal someone else’s ring,abandon his father,sell all the food to the highest bidder,,,
100,498,TRUE,R_1IZbI612jjt6WsN,100,100,,100,100,,,100,0,,,2,0,,8,0,0,77,,27,Female,White / Caucasian,,Some College,Rung 4,start a fundraiser,take a public bus,,renew her membership,bring in the assignment the next day,,,keep an eye on him,honk an angry message in Morse code,,,hide the knife in someone else's bag,borrow their mom’s wedding ring,,throw disobedient passengers off the boat,saw Todd’s arm off,lock up the store,carry her competitor on her sled
100,381,TRUE,R_1DunhQeoyb77c0e,,,,,1,0,5,,94,20,100,1,10,,100,90,0,1,,32,Other,White / Caucasian,,College Graduate (4 year),Rung 2,,,,,lie that her house burnt down,steal all of the food and water,try to buy a ticket off another person,,pull over and call 911,call her a cab,check that the doors are locked,pretend the knife is part of a hip replacement,steal someone else’s ring,,ration their food,hike until she finds cell service,call his lawyer,call for help
100,367,TRUE,R_2Rb4rKFDzWmDDak,100,,17,0,34,61,91,,100,33,,,,100,0,,0,50,,25,Other,White / Caucasian,,Some College,Rung 3,take out a loan,,stage a robbery,crawl past the front desk,lie that her house burnt down,steal all of the food and water,teleport into the concert,,take a detour at the next exit,call her a cab,,,,check in on his father daily,throw disobedient passengers off the boat,,stage a break-in at the store,call for help
100,363,TRUE,R_2dLzIsJW5Ypz4De,,100,10,,5,82,10,50,30,35,0,90,,,,5,25,,,40,Male,Black / African American,,Some College,Rung 7,,reschedule for a later flight,get an advance payday loan,,copy a friend's assignment,collect wood to start a fire,go without Ted,wave to the parents,honk an angry message in Morse code,refuse to drive her,light a fire under the car,ask to check the knife,,,,yell at Todd for getting stuck,tell his lawyer that he’s sick,
100,301,TRUE,R_2qlsjesSnDj1Ih2,8,72,100,100,,60,,,71,,100,81,,91,,86,1,50,,34,Female,White / Caucasian,,College Graduate (4 year),Rung 3,commit credit card fraud,reschedule for a later flight,explain the situation to his boss,renew her membership,,boost morale with a three-legged race,,,honk at the driver until they pull over,,call emergency services,take a train instead,,get another job,,give Todd her water,stage a break-in at the store,call for help
100,368,TRUE,R_2AWRi1CyGkx3WZX,,,30,100,,75,,100,,,100,0,80,40,100,70,0,0,,58,Female,White / Caucasian,,Master's Degree (MS),Rung 6,,,pay the money from his own wallet,borrow someone's phone,,collect wood to start a fire,,ask the parents if they know him,,,call emergency services,hide the knife in someone else's bag,borrow their mom’s wedding ring,move into his father’s apartment,request supplies to be airdropped,saw Todd’s arm off,stage a break-in at the store,steal his dogs for extra speed
100,331,TRUE,R_1NxG0Pn8BqK9mkW,0,0,,0,,50,0,0,0,,0,0,,0,0,,0,,,32,Male,White / Caucasian,,College Graduate (4 year),Rung 6,commit credit card fraud,steal a passing driver's car,,pay for a day-pass to the gym,,huddle to conserve energy,go without Ted,wave to the parents,tailgate the car,,pour water on the car to cool it,threaten security with the knife,,pitch his situation to a reality TV network,organize a fishing crew,,call his lawyer,
100,444,TRUE,R_WAH7mlFmVoXifZv,72,0,100,81,,0,,,0,,100,100,,1,,0,42,92,,50,Female,Black / African American,,Vocational/Technical School (2 year),Rung 5,switch insurance plans,take a public bus,explain the situation to his boss,pay for a day-pass to the gym,,throw away all of the food,,,ram into the car,,ask to use the mall's loudspeaker,take a train instead,,pitch his situation to a reality TV network,,get her arm stuck in solidarity,lock up the store,hide him in the snow
100,467,TRUE,R_3FOkSkxchSpo31t,,30,40,30,0,0,0,5,,2,0,80,,10,50,,,,,49,Male,White / Caucasian,,Some College,Rung 3,,try to convince a passing driver to trade cars,pay the money from his own wallet,lie that she left her card inside,hypnotize the teacher,boost morale with a three-legged race,teleport into the concert,ask the parents if they know him,,refuse to drive her,light a fire under the car,take a train instead,,move into his father’s apartment,request supplies to be airdropped,,,
100,338,TRUE,R_1eS5qoc0LVo3zpS,0,0,0,1,,,,31,67,23,0,,,,0,0,0,0,,32,Female,Hispanic / Latino,,Some College,Rung 3,go on strike for better wages,steal a passing driver's car,overcharge the next customers,pull the fire alarm,,,,tackle him and hold him down,pull over and call 911,take her to his house but no further,light a fire under the car,,,,sell all the food to the highest bidder,saw Todd’s arm off,tell his lawyer that he’s sick,carry her competitor on her sled
100,393,TRUE,R_1HiMNhHoWg7xayF,,90,,,90,95,1,91,,1,1,1,98,,1,1,50,,,57,Male,White / Caucasian,,College Graduate (4 year),Rung 3,,take a public bus,,,bring in the assignment the next day,huddle to conserve energy,pretend they are conjoined twins,keep an eye on him,,turn invisible,slash the tires,threaten security with the knife,tell his sister as soon as possible,,serve engine fuel to the passengers,yell at Todd for getting stuck,leave the store unattended,
100,324,TRUE,R_2PChfv9nI9c9Jmh,,100,0,,12,,0,0,,0,100,,80,0,,70,64,0,,31,Other,White / Caucasian,,College Graduate (4 year),Rung 4,,call a taxi,stage a robbery,,hypnotize the teacher,,pretend they are conjoined twins,tackle him and hold him down,,turn invisible,ask to use the mall's loudspeaker,,borrow their mom’s wedding ring,buy his father a tent,,leave Todd to save herself,leave the store unattended,hide him in the snow
100,411,TRUE,R_1gSJBk39Y4OjEM0,2,2,,32,100,,41,64,29,2,92,,33,,,75,,4,,52,Female,White / Caucasian,,Some College,Rung 2,commit credit card fraud,demand that the airline delays the flight,,lie that she left her card inside,quickly try to redo the assignment,,pretend they are conjoined twins,make cat noises at him until he leaves,tailgate the car,steal whatever she has on her,check that the doors are locked,,blame it on the maid of honor,,,hike until she finds cell service,,leave her dogs with him
100,383,TRUE,R_4VI48iBjFqYHb5T,60,,,12,45,,35,71,50,44,76,,25,16,67,,,35,,74,Female,White / Caucasian,,Some College,Rung 6,take out a loan,,,pull the fire alarm,call her mom,,give her ticket to Ted,ask the parents if they know him,tailgate the car,take her to his house but no further,ask to use the mall's loudspeaker,,run away,buy his father a tent,request supplies to be airdropped,,,carry her competitor on her sled
100,267,TRUE,R_21sPwKjiDwBbUNE,69,100,0,0,100,0,,1,0,,100,,,,0,50,,100,,46,Female,Hispanic / Latino,,College Graduate (4 year),Rung 7,go on strike for better wages,reschedule for a later flight,sell one of his kidneys,lie that she left her card inside,quickly try to redo the assignment,steal all of the food and water,,keep an eye on him,honk at the driver until they pull over,,pour water on the car to cool it,,,,throw disobedient passengers off the boat,saw Todd’s arm off,,call for help
100,880,TRUE,R_OI6TbPh9uEmobnz,95,90,,100,30,40,0,0,,0,,10,95,80,,,20,,,50,Female,White / Caucasian,,High School or equivalent,Rung 3,switch insurance plans,reschedule for a later flight,,borrow someone's phone,call her mom,boost morale with a three-legged race,pretend they are conjoined twins,make cat noises at him until he leaves,,yell in gibberish until she leaves,,hide the knife in someone else's bag,call the taxi company,get another job,,,tell his lawyer that he’s sick,
100,382,TRUE,R_55yhE5B7Xk2qb9n,100,4,19,10,,10,80,91,1,6,9,100,,,2,,,,,53,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 5,start a fundraiser,demand that the airline delays the flight,pay the money from his own wallet,crawl past the front desk,,search for a water source,give her ticket to Ted,ask the parents if they know him,ram into the car,yell in gibberish until she leaves,slash the tires,store the knife in an airport locker,,,sell all the food to the highest bidder,,,
100,1034,TRUE,R_1IL8DZ7qJ3oM60P,31,0,100,39,62,1,,,19,30,,,92,91,60,,1,,,60,Male,White / Caucasian,,College Graduate (4 year),Rung 5,start a fundraiser,demand that the airline delays the flight,explain the situation to his boss,pay for a day-pass to the gym,quickly try to redo the assignment,huddle to conserve energy,,,take a detour at the next exit,call her a cab,,,call the taxi company,check in on his father daily,request supplies to be airdropped,,tell his lawyer that he’s sick,
100,156,TRUE,R_3Htvp6ezmMOcr3A,100,,0,49,0,100,4,,0,0,,0,1,,,100,9,,,37,Male,White / Caucasian,,College Graduate (4 year),Rung 7,search for the medication on the black market,,overcharge the next customers,pay for a day-pass to the gym,lie that her house burnt down,search for a water source,pretend they are conjoined twins,,honk an angry message in Morse code,steal whatever she has on her,,pretend the knife is part of a hip replacement,steal someone else’s ring,,,hike until she finds cell service,ask a friend to take over,
100,260,TRUE,R_263bZcGYg2dwbM9,40,,,,0,,0,0,33,0,0,50,91,0,,15,,0,,53,Female,White / Caucasian,,Master's Degree (MS),Rung 4,search for the medication on the black market,,,,hypnotize the teacher,,try to buy a ticket off another person,wave to the parents,honk at the driver until they pull over,steal whatever she has on her,light a fire under the car,ask to check the knife,tell his sister as soon as possible,abandon his father,,give Todd her water,,carry her competitor on her sled
100,901,TRUE,R_WcjXTTKbtGjchNf,0,,45,,,75,0,,20,0,30,,0,0,,90,0,0,,49,Female,Black / African American,,College Graduate (4 year),Rung 2,commit credit card fraud,,pay the money from his own wallet,,,search for a water source,go without Ted,,honk an angry message in Morse code,steal whatever she has on her,check that the doors are locked,,blame it on the maid of honor,get another job,,give Todd her water,stage a break-in at the store,call for help
100,415,TRUE,R_2VQrFTtBXTy2ETQ,0,,100,85,25,0,,,5,,,0,100,,0,30,0,0,,42,Female,White / Caucasian,,Master's Degree (MS),Rung 5,go on strike for better wages,,explain the situation to his boss,renew her membership,quickly try to redo the assignment,steal all of the food and water,,,honk at the driver until they pull over,,,hide the knife in someone else's bag,call the taxi company,,serve engine fuel to the passengers,leave Todd to save herself,ask a friend to take over,carry her competitor on her sled
100,342,TRUE,R_26hdLBjmXaw4iDh,51,68,70,59,32,69,,,,,67,82,,,72,63,57,60,,52,Male,White / Caucasian,,College Graduate (4 year),Rung 7,switch insurance plans,try to convince a passing driver to trade cars,sell one of his kidneys,renew her membership,quickly try to redo the assignment,boost morale with a three-legged race,,,,,ask to use the mall's loudspeaker,ask to check the knife,,,organize a fishing crew,give Todd her water,tell his lawyer that he’s sick,steal his dogs for extra speed
100,381,TRUE,R_1IvlkJFyZqsYh07,0,,0,20,,90,0,,30,0,,100,0,0,80,,0,,,32,Male,White / Caucasian,,College Graduate (4 year),Rung 3,commit credit card fraud,,pay the money from his own wallet,borrow someone's phone,,huddle to conserve energy,go without Ted,,pull over and call 911,yell in gibberish until she leaves,,ask to check the knife,steal someone else’s ring,get another job,ration their food,,ask a friend to take over,
100,181,TRUE,R_2EHrzmIf2k5ewBr,,94,100,80,5,,25,,,1,10,2,,,80,5,20,1,,61,Male,White / Caucasian,,College Graduate (4 year),Rung 7,,take a public bus,explain the situation to his boss,pay for a day-pass to the gym,lie that her house burnt down,,try to buy a ticket off another person,,,turn invisible,call emergency services,hide the knife in someone else's bag,,,request supplies to be airdropped,yell at Todd for getting stuck,leave the store unattended,leave her dogs with him
100,965,TRUE,R_1nOCiNvvfzfaxvN,57,0,,,78,0,0,82,69,,,,78,,82,71,0,0,,54,Female,White / Caucasian,,Master's Degree (MS),Rung 9,take out a loan,call a taxi,,,bring in the assignment the next day,boost morale with a three-legged race,give her ticket to Ted,keep an eye on him,take a detour at the next exit,,,,tell his sister as soon as possible,,ration their food,hike until she finds cell service,lock up the store,hide him in the snow
100,173,TRUE,R_ZxCKnGsmfYHP2JX,,22,26,,34,88,34,,,6,0,,100,21,0,75,4,,,22,Male,White / Caucasian,,College Graduate (4 year),Rung 4,,call a taxi,stage a robbery,,call her mom,huddle to conserve energy,steal someone else's ticket,,,refuse to drive her,light a fire under the car,,tell his sister as soon as possible,get another job,sell all the food to the highest bidder,leave Todd to save herself,leave the store unattended,
100,674,TRUE,R_0q5sNHp14HYyslH,60,0,0,90,,,,90,,,5,0,,0,95,0,80,90,,41,Female,Black / African American,,College Graduate (4 year),Rung 5,go on strike for better wages,try to convince a passing driver to trade cars,overcharge the next customers,crawl past the front desk,,,,ask the parents if they know him,,,pour water on the car to cool it,threaten security with the knife,,pitch his situation to a reality TV network,organize a fishing crew,get her arm stuck in solidarity,ask a friend to take over,finish the race
100,355,TRUE,R_2AF0tlEJwIzfoPs,,100,,,0,,0,0,,0,100,70,100,0,,100,0,0,,45,Female,White / Caucasian,,College Graduate (4 year),Rung 4,,reschedule for a later flight,,,copy a friend's assignment,,teleport into the concert,tackle him and hold him down,,turn invisible,call emergency services,store the knife in an airport locker,tell his sister as soon as possible,abandon his father,,hike until she finds cell service,leave the store unattended,carry her competitor on her sled
100,339,TRUE,R_RV4KnUA5ErlRqdH,32,2,,4,,0,,10,29,44,3,35,60,4,,,20,,,57,Male,White / Caucasian,,Some College,Rung 2,commit credit card fraud,demand that the airline delays the flight,,crawl past the front desk,,throw away all of the food,,tackle him and hold him down,tailgate the car,call her a cab,slash the tires,pretend the knife is part of a hip replacement,borrow their mom’s wedding ring,buy his father a tent,,,lock up the store,
100,285,TRUE,R_1JCK5CPAb5DDrua,70,0,60,80,0,80,0,80,80,0,,,0,,,0,,,,41,Male,Black / African American,,Some College,Rung 3,search for the medication on the black market,steal a passing driver's car,get an advance payday loan,pay for a day-pass to the gym,hypnotize the teacher,search for a water source,pretend they are conjoined twins,ask the parents if they know him,pull over and call 911,take her to his house but no further,,,steal someone else’s ring,,,get her arm stuck in solidarity,,
100,615,TRUE,R_OIHNnuviBHMqbSN,5,,0,80,0,,15,10,0,0,,,30,95,1,,,50,,25,Male,Black / African American,,High School or equivalent,Rung 3,commit credit card fraud,,sell one of his kidneys,borrow someone's phone,lie that her house burnt down,,teleport into the concert,make cat noises at him until he leaves,ram into the car,refuse to drive her,,,call the taxi company,move into his father’s apartment,serve engine fuel to the passengers,,,finish the race
100,560,TRUE,R_1loc45BfWDJU9gV,,50,0,0,81,0,0,,0,0,,90,0,86,,,,0,,50,Male,Native American / American Indian,,Vocational/Technical School (2 year),Rung 3,,call a taxi,overcharge the next customers,pull the fire alarm,bring in the assignment the next day,throw away all of the food,give her ticket to Ted,,honk at the driver until they pull over,refuse to drive her,,ask to check the knife,run away,check in on his father daily,,,,hide him in the snow
100,227,TRUE,R_WedmlzsVMKUjV3X,,1,,4,94,,10,9,70,,,92,0,2,96,0,5,,,37,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,demand that the airline delays the flight,,crawl past the front desk,quickly try to redo the assignment,,go without Ted,tackle him and hold him down,take a detour at the next exit,,,ask to check the knife,steal someone else’s ring,get another job,organize a fishing crew,saw Todd’s arm off,call his lawyer,
100,365,TRUE,R_2VgepRDcburrV0B,,1,1,,100,,,100,60,,100,100,100,0,0,,0,100,,44,Female,White / Caucasian,,Some College,Rung 4,,try to convince a passing driver to trade cars,get an advance payday loan,,bring in the assignment the next day,,,wave to the parents,take a detour at the next exit,,check that the doors are locked,take a train instead,call the taxi company,pitch his situation to a reality TV network,serve engine fuel to the passengers,,stage a break-in at the store,finish the race
100,244,TRUE,R_xFSbhnfAa69KiOZ,0,0,0,0,,,,,0,0,0,0,0,0,,,0,0,,33,Male,White / Caucasian,,College Graduate (4 year),Rung 6,switch insurance plans,take a public bus,overcharge the next customers,lie that she left her card inside,,,,,honk an angry message in Morse code,call her a cab,call emergency services,pretend the knife is part of a hip replacement,blame it on the maid of honor,buy his father a tent,,,tell his lawyer that he’s sick,carry her competitor on her sled
