Progress,Duration (in seconds),Finished,ResponseId,S1-FR_4,S1-FR_5,S1-FR_6,S1-FR_7,S1-FR_8,S1FRtime_First Click,S1FRtime_Last Click,S1FRtime_Page Submit,S1FRtime_Click Count,S1A1_4,S1A1_5,S1A1_6,S1A2_4,S1A2_5,S1A2_6,S1A3_4,S1A3_5,S1A3_6,S1A4_4,S1A4_5,S1A4_6,S1A5_4,S1A5_5,S1A5_6,S2-FR_4,S2-FR_5,S2-FR_6,S2-FR_7,S2-FR_8,S2FRtime_First Click,S2FRtime_Last Click,S2FRtime_Page Submit,S2FRtime_Click Count,S2A1_4,S2A1_5,S2A1_6,S2A2_4,S2A2_5,S2A2_6,S2A3_4,S2A3_5,S2A3_6,S2A4_4,S2A4_5,S2A4_6,S2A5_4,S2A5_5,S2A5_6,S3-FR_4,S3-FR_5,S3-FR_6,S3-FR_7,S3-FR_8,S3FRtime_First Click,S3FRtime_Last Click,S3FRtime_Page Submit,S3FRtime_Click Count,S3A1_4,S3A1_5,S3A1_6,S3A2_4,S3A2_5,S3A2_6,S3A3_4,S3A3_5,S3A3_6,S3A4_4,S3A4_5,S3A4_6,S3A5_4,S3A5_5,S3A5_6,S4-FR_4,S4-FR_5,S4-FR_6,S4-FR_7,S4-FR_8,S4FRtime_First Click,S4FRtime_Last Click,S4FRtime_Page Submit,S4FRtime_Click Count,S4A1_4,S4A1_5,S4A1_6,S4A2_4,S4A2_5,S4A2_6,S4A3_4,S4A3_5,S4A3_6,S4A4_4,S4A4_5,S4A4_6,S4A5_4,S4A5_5,S4A5_6,S5-FR_4,S5-FR_5,S5-FR_6,S5-FR_7,S5-FR_8,S5FRtime_First Click,S5FRtime_Last Click,S5FRtime_Page Submit,S5FRtime_Click Count,S5A1_4,S5A1_5,S5A1_6,S5A2_4,S5A2_5,S5A2_6,S5A3_4,S5A3_5,S5A3_6,S5A4_4,S5A4_5,S5A4_6,S5A5_4,S5A5_5,S5A5_6,S6-FR_4,S6-FR_5,S6-FR_6,S6-FR_7,S6-FR_8,S6FRtime_First Click,S6FRtime_Last Click,S6FRtime_Page Submit,S6FRtime_Click Count,S6A1_4,S6A1_5,S6A1_6,S6A2_4,S6A2_5,S6A2_6,S6A3_4,S6A3_5,S6A3_6,S6A4_4,S6A4_5,S6A4_6,S6A5_4,S6A5_5,S6A5_6,S7-FR_4,S7-FR_5,S7-FR_6,S7-FR_7,S7-FR_8,S7FRtime_First Click,S7FRtime_Last Click,S7FRtime_Page Submit,S7FRtime_Click Count,S7A1_7,S7A1_8,S7A1_9,S7A2_7,S7A2_8,S7A2_9,S7A3_7,S7A3_8,S7A3_9,S7A4_7,S7A4_8,S7A4_9,S7A5_7,S7A5_8,S7A5_9,S8-FR_4,S8-FR_5,S8-FR_6,S8-FR_7,S8-FR_8,S8FRtime_First Click,S8FRtime_Last Click,S8FRtime_Page Submit,S8FRtime_Click Count,S8A1_4,S8A1_5,S8A1_6,S8A2_4,S8A2_5,S8A2_6,S8A3_4,S8A3_5,S8A3_6,S8A4_4,S8A4_5,S8A4_6,S8A5_4,S8A5_5,S8A5_6,S9-FR_4,S9-FR_5,S9-FR_6,S9-FR_7,S9-FR_8,S9FRtime_First Click,S9FRtime_Last Click,S9FRtime_Page Submit,S9FRtime_Click Count,S9A1_4,S9A1_5,S9A1_6,S9A2_4,S9A2_5,S9A2_6,S9A3_4,S9A3_5,S9A3_6,S9A4_4,S9A4_5,S9A4_6,S9A5_4,S9A5_5,S9A5_6,S10-FR_4,S10-FR_5,S10-FR_6,S10-FR_7,S10-FR_8,S10FRtime_First Click,S10FRtime_Last Click,S10FRtime_Page Submit,S10FRtime_Click Count,S10A1_4,S10A1_5,S10A1_6,S10A2_4,S10A2_5,S10A2_6,S10A3_4,S10A3_5,S10A3_6,S10A4_4,S10A4_5,S10A4_6,S10A5_4,S10A5_5,S10A5_6,S11-FR_4,S11-FR_5,S11-FR_6,S11-FR_7,S11-FR_8,S11FRtime_First Click,S11FRtime_Last Click,S11FRtime_Page Submit,S11FRtime_Click Count,S11A1_4,S11A1_5,S11A1_6,S11A2_4,S11A2_5,S11A2_6,S11A3_4,S11A3_5,S11A3_6,S11A4_4,S11A4_5,S11A4_6,S11A5_4,S11A5_5,S11A5_6,S12-FR_4,S12-FR_5,S12-FR_6,S12-FR_7,S12-FR_8,S12FRtime_First Click,S12FRtime_Last Click,S12FRtime_Page Submit,S12FRtime_Click Count,S12A1_4,S12A1_5,S12A1_6,S12A2_4,S12A2_5,S12A2_6,S12A3_4,S12A3_5,S12A3_6,S12A4_4,S12A4_5,S12A4_6,S12A5_4,S12A5_5,S12A5_6,S13-FR_4,S13-FR_5,S13-FR_6,S13-FR_7,S13-FR_8,S13FRTime_First Click,S13FRTime_Last Click,S13FRTime_Page Submit,S13FRTime_Click Count,S13A1_7,S13A1_8,S13A1_9,S13A2_7,S13A2_8,S13A2_9,S13A3_7,S13A3_8,S13A3_9,S13A4_7,S13A4_8,S13A4_9,S13A5_7,S13A5_8,S13A5_9,S14-FR_4,S14-FR_5,S14-FR_6,S14-FR_7,S14-FR_8,S14FRTime_First Click,S14FRTime_Last Click,S14FRTime_Page Submit,S14FRTime_Click Count,S14A1_4,S14A1_5,S14A1_6,S14A2_4,S14A2_5,S14A2_6,S14A3_4,S14A3_5,S14A3_6,S14A4_4,S14A4_5,S14A4_6,S14A5_4,S14A5_5,S14A5_6,S15-FR_4,S15-FR_5,S15-FR_6,S15-FR_7,S15-FR_8,S15FRTime_First Click,S15FRTime_Last Click,S15FRTime_Page Submit,S15FRTime_Click Count,S15A1_4,S15A1_5,S15A1_6,S15A2_4,S15A2_5,S15A2_6,S15A3_4,S15A3_5,S15A3_6,S15A4_4,S15A4_5,S15A4_6,S15A5_4,S15A5_5,S15A5_6,S16-FR_4,S16-FR_5,S16-FR_6,S16-FR_7,S16-FR_8,S16FRTime_First Click,S16FRTime_Last Click,S16FRTime_Page Submit,S16FRTime_Click Count,S16A1_4,S16A1_5,S16A1_6,S16A2_4,S16A2_5,S16A2_6,S16A3_4,S16A3_5,S16A3_6,S16A4_4,S16A4_5,S16A4_6,S16A5_4,S16A5_5,S16A5_6,S17-FR_4,S17-FR_5,S17-FR_6,S17-FR_7,S17-FR_8,S17FRTime_First Click,S17FRTime_Last Click,S17FRTime_Page Submit,S17FRTime_Click Count,S17A1_4,S17A1_5,S17A1_6,S17A2_4,S17A2_5,S17A2_6,S17A3_4,S17A3_5,S17A3_6,S17A4_4,S17A4_5,S17A4_6,S17A5_4,S17A5_5,S17A5_6,S18-FR_4,S18-FR_5,S18-FR_6,S18-FR_7,S18-FR_8,S18FRTime_First Click,S18FRTime_Last Click,S18FRTime_Page Submit,S18FRTime_Click Count,S18A1_4,S18A1_5,S18A1_6,S18A2_4,S18A2_5,S18A2_6,S18A3_4,S18A3_5,S18A3_6,S18A4_4,S18A4_5,S18A4_6,S18A5_4,S18A5_5,S18A5_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses
100,1265,TRUE,R_1DomTkberW6hes4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Show the teacher the ruined work as proof of completion,Ask for an extension to re-write the ruined homework,"Explain the situation to the teacher, ask for her advice/leniency","Turn in the work she has done, even if it is ruined",Try to do the work again before the end of class,40.398,40.398,200.973,1,100,100,100,100,100,100,100,100,100,30,100,50,0,100,20,Go the town at the base of the mountain for help,Call 911/emergency services,Call the Canadian Police,Try and find their way back to their planned route,Send out S.O.S. call with flares ,26.28,68.725,182.414,4,100,100,100,100,100,100,100,100,100,0,80,50,0,100,30,Try and sneak Ted into the concert,Try to make it to the house and back with the ticket,Leave Ted and see the concert,Record the concert for Ted to watch later,See if someone at the house can send a picture of the ticket,11.714,57.028,110.281,2,80,0,80,0,100,25,50,0,50,10,100,10,50,100,50,Yell out for the teenager to stop throwing the belongings into the ocean,Try and find the teenager's parents and make them aware,Alert the lifeguard,Mind her business,Go and stop the teenager from throwing the belongings into the ocean,22.989,120.481,122.974,4,30,80,50,0,100,50,50,100,50,100,20,100,0,50,10,Call the police,Honk at Chuck,Pull up beside Chuck's car to see if he's ok,Drive around Chuck,Call Chuck's cell phone to see if he's ok,24,89.419,90.134,3,50,100,50,50,80,90,50,100,50,50,0,70,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Report the situation to mall security,Mind her business,"Wait a few minutes, see if the owner comes to the car",Try to find the owner,Call the police,16.518,16.518,93.508,1,50,100,30,100,50,100,0,100,0,0,100,0,0,50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,Hispanic / Latino,,Some College,Rung 3
100,1477,TRUE,R_3kjJ3OJUGOLPhuj,Ask for a raise at work,Get a part time job,Send the dog to a shelter,Ask family member for help,Ask for help from organisations.,152.146,309.579,323.168,5,50,94,92,100,100,100,50,70,60,50,67,39,83,91,83,start walking,hitch a ride,go back,try to fix the car,try to look for a phone,25.013,71.207,83.418,11,87,100,100,90,94,89,37,97,91,97,100,100,75,100,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Say she had done the homework,she could skip the class,Say she forgot the book at home,come clean and say she did not do the homework,copy someone elses homework,91.934,174.085,188.824,9,95,27,45,100,37,65,57,42,63,50,100,100,31,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mind her own business,talk to the teenager,ask if she was part of the family,tell the family,just look and stay quiet,13.504,82.879,99.728,8,88,52,61,34,100,80,90,88,80,82,100,90,85,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,try to look for the owner,play with the dog,take the dog out of the car,stay with the dog until the owner is back,steal the dog,8.15,84.935,99.175,8,85,92,100,86,99,94,50,3,34,97,95,91,50,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He could come clean and tell the truth,He could hide the truth until the boat arrives,He could tell the crew and hide the truth from the passagers,he could tell everyone everything id okay,He could try and fix the engine,35.806,155.879,172.703,10,50,100,100,81,3,1,82,6,26,79,2,1,85,78,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Male,Black / African American,,College Graduate (4 year),Rung 5
100,1182,TRUE,R_3p8YjyiMe4CtX7l,,,,,,,,,,,,,,,,,,,,,,,,,hitchhike,start walking toward the airport,try to fix the car,start a fire to try and get someone's attention,give up on the trip and just wait,15.951,15.951,90.101,1,50,90,80,35,100,51,20,100,60,0,0,0,10,80,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell him to stop,Ask him what he's doing,ignore him,get a lifeguard/park ranger/whatever authority there is,find the family and tell them,27.422,35.806,101.348,2,35,100,65,20,100,50,75,5,65,10,60,75,25,65,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,let it be - it's cool/rainy and fine,go back into the mall and tell security,call the cops/animal control,break into the car and take the dog,break a window so they have cooler air,2.125,81.139,98.613,5,90,100,100,10,5,15,5,5,15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ration the food,provide entertainment to keep people busy/distracted,meet with employees and have them try to keep people calm,have the maintenance crew working on the engine,provide everyone frequent updates to reduce panic,44.057,171.502,192.201,6,50,80,80,50,100,75,90,100,100,30,100,70,65,100,65,cut his finger off,hike to somewhere there is cell service and call out,hike out and get help,wait for someone else to come along,try to break the rock,19.706,21.258,117.6,2,5,60,5,30,100,85,25,100,69,15,5,20,20,50,50,,,,,,,,,,,,,,,,,,,,,,,,,ignore him and keep going,ask if he's ok,join him and ask for a cigarette,"yell ""see ya at the finish line"" as she blows past him",I really can't come up with anything realistic beyond that. ,18.105,146.939,164.508,6,90,90,100,50,100,61,1,5,10,5,10,13,0,0,0,,39,Female,White / Caucasian,,College Graduate (4 year),Rung 4
100,763,TRUE,R_2zRMC4HC4RRLsGd,,,,,,,,,,,,,,,,,,,,,,,,,forget about the flight,walk for help,sleep in the car until help arrives,see if he can fix the car,wait for another car to come by,11.467,48.08,66.049,5,100,100,100,100,99,98,100,100,99,98,100,99,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ask him why he's doing that,alarm others to what's going on,call a lifeguard,ask the family next to her if they know the person,find help,26.4,75.016,85.469,5,99,100,99,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,give the friend a ride,give the person cab fare,tell them you're going another route,you have an appointment and can't do the favor,take them only to your house,12.642,73.55,101.692,5,100,100,100,100,100,99,100,21,18,61,12,9,100,97,99,,,,,,,,,,,,,,,,,,,,,,,,,tell the authorities,hide it,put it in the mail,pay the fine,pretend you didn't know you had it,15.116,59.873,78.7,6,100,100,100,60,9,7,98,99,100,100,99,98,100,40,26,call the taxi company,get another replacement ring,tell the groom what happened,fake it,pretend you didn't know ,1.027,48.588,68.904,5,100,100,100,100,70,39,98,100,99,45,22,19,22,12,9,,,,,,,,,,,,,,,,,,,,,,,,,be honest with them,ration the food,pray,see if there's faster help on the way,just deal with it,20.377,76.67,85.983,5,99,100,100,100,100,100,100,100,94,99,100,100,100,87,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,Female,White / Caucasian,,Some College,Rung 7
100,1436,TRUE,R_1MSuoT8tJaB7I3g,getting donation from others,giving ad ,consider doctors ,admit it in hospital,pay bills later,23.036,332.492,338.614,11,61,51,65,60,49,69,53,49,57,62,42,62,48,58,48,,,,,,,,,,,,,,,,,,,,,,,,,Consulting other employees,checking camera,counting again the money,taking time to know the incident.,getting permission from manager,1.863,197.074,213.387,7,62,54,70,70,51,64,67,49,65,63,45,67,65,49,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distrubing others was not fair,know about the family,believe the family,getting involved and friendly with them,playing with children,0.931,82.402,91.7,5,72,54,62,65,50,61,66,51,61,67,56,68,70,58,62,he will be concentrate his driving.,don't trust others,while driving there is no unneccesaary think.,concentrate on road,don't beleif that trick friend.,1.008,190.298,203.208,9,57,47,59,71,48,66,61,50,65,62,50,64,61,50,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Be careful in every situation,check the ring before he came,check one or twice,always be safe ,think before he go,1.258,142.967,143.389,10,64,56,69,64,54,72,64,54,64,62,47,65,64,49,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,don't care about what others do,only concentrate her goal,have a hope,have a confident,going with positive vibes,1.021,83.671,83.989,7,62,49,61,63,47,59,58,47,60,57,45,61,57,46,57,,41,Male,White / Caucasian,,College Graduate (4 year),Rung 6
100,1342,TRUE,R_XhSZLLZVQcMvAc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tell the manager what happened,Hit the cash machine and take the money out to make up the difference,Talk to all of the employees to see if anyone knew why the register was $500 short,"Call his wife and see if she could hit the cash machine, then bring the money to him",Call a friend and see if he could get the money and you would pay him back tomorrow.,3.38,3.38,163.887,1,80,88,86,40,74,33,85,83,94,47,70,42,22,76,42,,,,,,,,,,,,,,,,,,,,,,,,,Go to the teacher with the wet homework and tell him/her what happened,"Go home, get a hair dryer and try to dry the assignment",Put all of the papers one by one in a copy machine to get a dry copy,Ask the teacher if she could have one more day to redo the assignment,Get some paper and rewrite the homework assignment to the best of her ability,10.633,10.633,228.592,1,84,87,86,60,91,56,36,85,41,81,88,83,68,74,71,,,,,,,,,,,,,,,,,,,,,,,,,Go back home and get the ticket,Ask to talk to the manager to see what can be done,See if anyone in the crowd will sell them another ticket,Have Darya give Ted her ticket and she can come back when the concert is over,Have someone else in the group give Ted their ticket,17.973,17.973,115.397,1,64,81,62,80,81,85,78,74,83,57,75,60,71,72,58,Ask the teenager what he/she is doing,Call out to the family and tell them what is happening,Call the police,Ask some of the people around them to help out,Call for the lifeguard to check out the situation,20.902,55.366,130.437,3,74,87,70,90,92,86,72,81,73,79,86,76,77,83,84,Call Chuck on his cellphone to see if it is him,Start tooting the horn until the car pulled over,Begin flashing his headlights to get the car to pull over,Call the police,Pull his car over to the side of the road and wait 10 minutes,9.702,9.702,115.972,1,83,84,85,62,83,77,72,90,77,40,72,36,68,88,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Get on the ships sound system and tell all the passengers to stay calm,Call the Coast guard and tell them about the food situation,Tell the passengers about the food situation ,Set up a plan to dole out the food to everyone,Tell the crew about the situation and give them their duties to keep things under control,24.871,24.871,173.714,1,96,85,88,83,89,95,67,77,74,75,78,81,82,88,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,Male,White / Caucasian,,Master's Degree (MS),Rung 5
100,1278,TRUE,R_3EcHKQBHTVlXjgt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tell his manager,recount the register,check the safe ,look over the days transactions,see if the money is stuck in the register,1.436,32.735,47.233,2,61,100,100,100,100,100,39,100,100,100,100,100,90,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,go back home to get the ticket,go home and stay there,try and buy a ticket from someone else,leave,turn around,1.262,1.262,85.929,1,80,100,100,40,60,80,30,9,70,40,9,30,100,100,100,Tell the family,get the family's attention,tell the teenager to stop,go get the things out of the water,ask the teenager what they're doing,1.287,1.287,231.877,1,100,100,100,100,100,100,70,100,60,20,100,60,40,100,30,call the police,get up next to him and tell him to pull over,pass him ,ignore him,call him ,21.649,21.649,45.204,1,60,100,100,100,90,40,100,10,100,10,10,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,call the police,break the window,call animal control,break into the car,call mall management,1.166,22.09,106.771,2,100,100,100,80,100,100,60,100,100,100,100,100,40,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ration the food ,tell the passengers what is going on,keep the passengers calm ,tell the passengers to ration food,ask the passengers to volunteer their food for others,2.481,74.984,119,3,100,100,100,100,100,100,100,100,100,70,100,100,40,100,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Female,White / Caucasian,,College Graduate (4 year),Rung 2
100,1494,TRUE,R_3efcKPsEnKIlv4z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recount the cash drawer.,Replace the money from his own pocket.,Make up a story about being robbed at gunpoint.,Question the other employees.,"Ask the other employees to empty their pockets, purses, etc.",7.206,143.094,181.408,11,100,100,100,10,50,0,5,0,5,80,90,90,50,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Try to pull up a digital copy of his ticket.,Try to sneak in anyway.,Explain to admissions that he lost his ticket and ask if there is anything that can be done.,Try to buy a ticket for a higher price from someone else waiting outside.,Call the ticket box office and ask if they can help.,5.399,121.591,125.129,14,100,100,100,75,100,90,100,100,100,60,100,70,80,100,100,Wave to get the attention of the family members in the ocean.,Yell to get their attention.,Ask the teenager if he's part of the family.,"Strike up a conversation with the teenager, in hopes that if he's doing something he shouldn't be doing, he will become uncomfortable and stop.",Ask a lifeguard to investigate the issue.,14.899,131.342,137.916,10,100,100,100,90,100,100,30,100,80,50,100,100,100,100,100,Call Chuck on Bluetooth and ask if it's him.,Wait a bit and see if the driver moves into one lane so he can safely pass him.,Call police and report an erratic driver who could be intoxicated or otherwise impaired.,"Wait until it's safe to go around him, even if it means going into the wrong lane for a few seconds.",Honk his horn to get the driver's attention.,15.281,240.499,241.674,25,80,100,95,80,100,90,20,100,30,85,20,60,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Explain what happened in front of everyone.,Take someone aside and explain what happened.,Apologize profusely.,Have a panic attack.,Feel so embarrassed that he freezes.,9.184,85.684,88.07,7,85,100,80,100,100,100,100,100,100,50,100,50,75,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Instruct the crew to ration food and drink.,Take a count of the passengers to see how he should ration things out.,Radio help and tell them they're running out of supplies in hope that they will find a way to come more quickly.,"Figure out which passengers are most vulnerable, so he can prioritize how to ration the remaining supplies.","Find out if any passengers are diabetic, to make sure they receive enough of the right kind of food to keep from getting sick.",6.02,212.951,213.61,16,80,100,90,70,100,100,100,100,100,50,100,90,30,100,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,Female,White / Caucasian,,College Graduate (4 year),Rung 2
100,1469,TRUE,R_1Oq9bs5aqCW4Kmx,,,,,,,,,,,,,,,,,,,,,,,,,accept the situation,find plan B,start trecking to seek for assistant,encourage myself that it shall be well,call emergency line,59.059,152.442,166.749,7,88,66,57,77,59,68,87,64,79,85,68,82,67,59,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,accept the situation,alert Ted,try to explain the situation to concert guys,tell friends to video call to follow the concert online,go back home ,32.878,148.006,157,5,83,78,78,69,72,77,74,71,79,81,72,78,77,72,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,try to hoot ,come out and remove the dog,will move car slowly to avoid hitting the dog,take extra caution not to interfere with the dog,accept the situation,43.315,207.731,235.865,8,79,71,76,82,76,79,78,75,79,81,71,79,87,74,82,stop immediately ,find away of disposing of the knife,come back to the security guys,thank myself for remembering that l had carried a knife before arriving to the security checks,accept the situation,50.144,217.951,228.564,6,78,65,69,78,75,78,81,74,74,76,71,75,79,72,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Give them hope that it shall be well.,encourage them not to consume much food,tell them rescue boat is on the way,ask them to have patient,tell them to bear with the situation,36.42,112.752,131.228,5,85,72,67,71,62,69,80,69,66,90,87,86,83,84,83,Encourage Todd that the situation gonna be sorted,look for ways to help Todd,try to look network for 911,try to look around to get someone for help,try to pull todd out,30.208,141.931,158.655,5,73,65,72,81,75,76,78,78,76,78,79,79,82,74,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Male,Black / African American,,College Graduate (4 year),Rung 7
100,1110,TRUE,R_Xwgpu6q6UqM3lLz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Be honest about being short.,Lie and say it is balanced.,Use his own money.,Blame the shortage on someone else.,Quit before getting fired.,33.67,109.028,120.853,3,75,100,100,70,20,50,40,90,50,75,20,50,30,60,40,Pay the dues and see if they will let her in.,Sneak in another way.,Go back to the office and then call her friend.,Wait outside for her friend.,Yell at the person in front and cause a scene.,1.483,1.483,109.402,1,70,90,80,30,30,30,90,90,90,70,90,80,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Try to find someone selling tickets outside of the gates.,Go home for the ticket and just see as much of the concert as possible.,Give him her ticket and go home.,Have the whole group of friends leave and celebrate a different way.,Go onto the concert while Ted misses out.,0.979,143.292,166.985,12,90,100,90,70,90,80,70,100,70,70,100,70,50,20,20,Say something to stop the teenager.,Go to the parents and tell them.,Go get the items from the ocean.,Do nothing/ mind own business.,Tell a lifeguard.,1.193,81.731,89.788,8,75,90,75,80,90,80,60,80,70,50,30,50,80,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Be honest that there is a knife in his bag.,Don't say anything and hope they don't notice.,Lie about the knife and say it is someone else's if they find it.,Take the knife out and throw it away.,Go home and miss the flight.,1.347,101.961,113.868,8,70,80,70,70,60,70,50,20,30,70,80,70,60,80,70,,,,,,,,,,,,,,,,,,,,,,,,,Move his father into his apartment.,Hire a caretaker for his father.,Figure out a different family member to take care of him.,Do nothing at all. ,Put his father in a nursing home.,1.28,1.28,95.362,1,60,100,60,80,80,80,80,80,80,40,20,30,60,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Female,White / Caucasian,,College Graduate (4 year),Rung 5
